 "chemical science" ,
 "physical chemistry" ,
 "natural philosophy" ,
 "physics" ,
 "acoustics" ,
 "astronomy" ,
 "uranology" ,
 "aeronautics" ,
 "astronautics" ,
 "cosmogony" ,
 "cosmology" ,
 "cosmogeny" ,
 "cryogeny" ,
 "cryogenics" ,
 "crystallography" ,
 "electronics" ,
 "nucleonics" ,
 "nuclear physics" ,
 "atomic physics" ,
 "high-energy physics" ,
 "high energy physics" ,
 "particle physics" ,
 "holistic theory" ,
 "holism" ,
 "relativity theory" ,
 "Einstein's theory of relativity" ,
 "theory of relativity" ,
 "quantum theory" ,
 "hydrostatics" ,
 "thermodynamics" ,
 "geology" ,
 "plate tectonics" ,
 "tectonics" ,
 "plate tectonic theory" ,
 "meteorology" ,
 "oceanology" ,
 "oceanography" ,
 "mineralogy" ,
 "engineering science" ,
 "applied science" ,
 "metallurgy" ,
 "electrical engineering" ,
 "EE" ,
 "telecommunication" ,
 "computer science" ,
 "psychological science" ,
 "psychology" ,
 "psychophysics" ,
 "information processing" ,
 "information science" ,
 "IP" ,
 "informatics" ,
 "anthropology" ,
 "archaeology" ,
 "archeology" ,
 "mythology" ,
 "political science" ,
 "political economy" ,
 "economic science" ,
 "economics" ,
 "theory of games" ,
 "game theory" ,
 "sociology" ,
 "history" ,
 "fine arts" ,
 "beaux arts" ,
 "performing arts" ,
 "moral philosophy" ,
 "ethics" ,
 "jurisprudence" ,
 "contract law" ,
 "corporation law" ,
 "matrimonial law" ,
 "metaphysics" ,
 "diachrony" ,
 "historical linguistics" ,
 "diachronic linguistics" ,
 "prosody" ,
 "metrics" ,
 "rhetoric" ,
 "library science" ,
 "linguistics" ,
 "grammar" ,
 "phonetics" ,
 "phonology" ,
 "phonemics" ,
 "descriptive linguistics" ,
 "theological system" ,
 "Christian theology" ,
 "Marxism" ,
 "Gnosticism" ,
 "Christianity" ,
 "Christian religion" ,
 "Judaism" ,
 "Muhammadanism" ,
 "Muslimism" ,
 "Islamism" ,
 "Islam" ,
 "Mohammedanism" ,
 "Hinduism" ,
 "Hindooism" ,
 "Jainism" ,
 "Sikhism" ,
 "Buddhism" ,
 "Zen Buddhism" ,
 "Mazdaism" ,
 "Zoroastrianism" ,
 "voodooism" ,
 "vodoun" ,
 "hoodooism" ,
 "celluloid" ,
 "broadcast medium" ,
 "broadcasting" ,
 "news article" ,
 "news story" ,
 "newspaper article" ,
 "telecom" ,
 "telephony" ,
 "radiocommunication" ,
 "TV" ,
 "telecasting" ,
 "linguistic communication" ,
 "legend" ,
 "science fiction" ,
 "fable" ,
 "Arthurian legend" ,
 "verse" ,
 "rhyme" ,
 "Good Book" ,
 "Word" ,
 "Book" ,
 "Scripture" ,
 "Word of God" ,
 "Holy Writ" ,
 "Christian Bible" ,
 "Bible" ,
 "Holy Scripture" ,
 "Book of Genesis" ,
 "Genesis" ,
 "Gospel of Luke" ,
 "Luke" ,
 "Gospel According to Luke" ,
 "Apocalypse" ,
 "Revelation of Saint John the Divine" ,
 "Book of Revelation" ,
 "Revelation" ,
 "Old Testament" ,
 "New Testament" ,
 "Apocrypha" ,
 "civil law" ,
 "Justinian code" ,
 "Roman law" ,
 "jus civile" ,
 "common law" ,
 "case law" ,
 "statute law" ,
 "criminal law" ,
 "picture show" ,
 "moving picture" ,
 "flick" ,
 "moving-picture show" ,
 "movie" ,
 "motion-picture show" ,
 "motion picture" ,
 "WordNet" ,
 "Princeton WordNet" ,
 "parliamentary law" ,
 "rules of order" ,
 "parliamentary procedure" ,
 "printing process" ,
 "fairy story" ,
 "fairytale" ,
 "fairy tale" ,
 "witticism" ,
 "wittiness" ,
 "numeration system" ,
 "system of numeration" ,
 "number representation system" ,
 "number system" ,
 "concert" ,
 "Japanese" ,
 "Anglo-Saxon" ,
 "High German" ,
 "German language" ,
 "German" ,
 "Yiddish" ,
 "Latin" ,
 "Italian" ,
 "Spanish" ,
 "Sanskrit" ,
 "Sanskritic language" ,
 "Persian" ,
 "Farsi" ,
 "Afghani" ,
 "Paxto" ,
 "Pashtu" ,
 "Pashto" ,
 "Hebrew" ,
 "Arabic language" ,
 "Arabic" ,
 "Swahili" ,
 "dramaturgy" ,
 "dramatic art" ,
 "counterpoint" ,
 "jazz" ,
 "rock music" ,
 "rock'n'roll" ,
 "rock and roll" ,
 "rock-and-roll" ,
 "rock 'n' roll" ,
 "music genre" ,
 "musical genre" ,
 "musical style" ,
 "poesy" ,
 "poetry" ,
 "rime" ,
 "metonymy" ,
 "diplomatic negotiations" ,
 "folktale" ,
 "folk tale" ,
 "Arabian Nights" ,
 "Arabian Nights' Entertainment" ,
 "Thousand and One Nights" ,
 "growth" ,
 "electricity" ,
 "health food" ,
 "business sector" ,
 "classical mythology" ,
 "Greek mythology" ,
 "Roman mythology" ,
 "Norse mythology" ,
 "corp" ,
 "business organization" ,
 "business organisation" ,
 "business concern" ,
 "organized religion" ,
 "Church of Rome" ,
 "Western Church" ,
 "Roman Catholic" ,
 "Roman Church" ,
 "Roman Catholic Church" ,
 "Eastern Church" ,
 "Orthodox Church" ,
 "Eastern Orthodox" ,
 "Eastern Orthodox Church" ,
 "Orthodox Catholic Church" ,
 "Protestant" ,
 "Protestant Church" ,
 "Anglican Church" ,
 "Anglican Communion" ,
 "Church of England" ,
 "Protestant Episcopal Church" ,
 "Episcopal Church" ,
 "Foreign Service" ,
 "legislature" ,
 "legislative body" ,
 "legislative assembly" ,
 "law-makers" ,
 "general assembly" ,
 "naval forces" ,
 "armed forces" ,
 "armed services" ,
 "military machine" ,
 "military" ,
 "war machine" ,
 "Mafia" ,
 "Maffia" ,
 "Cosa Nostra" ,
 "academe" ,
 "academia" ,
 "ecclesiastical law" ,
 "canon law" ,
 "marine law" ,
 "maritime law" ,
 "admiralty law" ,
 "military law" ,
 "shariah" ,
 "sharia" ,
 "sharia law" ,
 "shariah law" ,
 "Islamic law" ,
 "West Indies" ,
 "the Indies" ,
 "Haiti" ,
 "Republic of Haiti" ,
 "Jamaica" ,
 "Yaltopya" ,
 "Abyssinia" ,
 "Ethiopia" ,
 "Federal Democratic Republic of Ethiopia" ,
 "Canada" ,
 "Melanesia" ,
 "Brasil" ,
 "Federative Republic of Brazil" ,
 "Brazil" ,
 "Islamic Republic of Pakistan" ,
 "West Pakistan" ,
 "Pakistan" ,
 "heavenly body" ,
 "celestial body" ,
 "lake" ,
 "ocean" ,
 "river" ,
 "volcano" ,
 "Native American" ,
 "Amerindian" ,
 "Teuton" ,
 "Nipponese" ,
 "Aristotle" ,
 "Jung" ,
 "Carl Jung" ,
 "Carl Gustav Jung" ,
 "Publius Ovidius Naso" ,
 "Ovid" ,
 "kingdom Fungi" ,
 "fungus kingdom" ,
 "Fungi" ,
 "fungus" ,
 "tax" ,
 "revenue enhancement" ,
 "investment funds" ,
 "evolution" ,
 "phylogeny" ,
 "organic evolution" ,
 "phylogenesis" ,
 "maturation" ,
 "growing" ,
 "ontogenesis" ,
 "ontogeny" ,
 "beneficiation" ,
 "mineral extraction" ,
 "mineral processing" ,
 "mineral dressing" ,
 "ore dressing" ,
 "ore processing" ,
 "political relation" ,
 "pregnancy" ,
 "colloid" ,
 "porcelain clay" ,
 "terra alba" ,
 "kaolin" ,
 "china clay" ,
 "kaoline" ,
 "china stone" ,
 "Middle Ages" ,
 "Dark Ages" ,
