 "nameObj" , "predicate" , "nameDom" ,
 "amphibious landing" , "domain_category" , "armed services" ,
 "amphibious landing" , "domain_category" , "military machine" ,
 "amphibious landing" , "domain_category" , "military" ,
 "amphibious landing" , "domain_category" , "war machine" ,
 "exit" , "domain_category" , "cards" ,
 "exit" , "domain_category" , "card game" ,
 "manoeuvre" , "domain_category" , "armed forces" ,
 "manoeuvre" , "domain_category" , "armed services" ,
 "manoeuvre" , "domain_category" , "military machine" ,
 "manoeuvre" , "domain_category" , "military" ,
 "manoeuvre" , "domain_category" , "war machine" ,
 "maneuver" , "domain_category" , "armed forces" ,
 "maneuver" , "domain_category" , "armed services" ,
 "maneuver" , "domain_category" , "military machine" ,
 "maneuver" , "domain_category" , "military" ,
 "maneuver" , "domain_category" , "war machine" ,
 "clinch" , "domain_category" , "boxing" ,
 "clinch" , "domain_category" , "pugilism" ,
 "clinch" , "domain_category" , "fisticuffs" ,
 "clinch" , "domain_category" , "watercraft" ,
 "clinch" , "domain_category" , "vessel" ,
 "break" , "domain_category" , "tennis" ,
 "break" , "domain_category" , "lawn tennis" ,
 "break" , "domain_category" , "billiards" ,
 "break" , "domain_category" , "geology" ,
 "break" , "domain_category" , "armed forces" ,
 "break" , "domain_category" , "armed services" ,
 "break" , "domain_category" , "military machine" ,
 "break" , "domain_category" , "military" ,
 "break" , "domain_category" , "war machine" ,
 "sleeper" , "domain_category" , "terrorism" ,
 "sleeper" , "domain_category" , "terrorist act" ,
 "sleeper" , "domain_category" , "act of terrorism" ,
 "smash" , "domain_category" , "motor vehicle" ,
 "smash" , "domain_category" , "automotive vehicle" ,
 "pass" , "domain_category" , "ball" ,
 "pass" , "domain_category" , "baseball game" ,
 "pass" , "domain_category" , "baseball" ,
 "pass" , "domain_category" , "sport" ,
 "pass" , "domain_category" , "athletics" ,
 "pass" , "domain_category" , "football" ,
 "pass" , "domain_category" , "football game" ,
 "pass" , "domain_category" , "American football game" ,
 "pass" , "domain_category" , "American football" ,
 "pass" , "domain_category" , "information processing system" ,
 "pass" , "domain_category" , "data processor" ,
 "pass" , "domain_category" , "electronic computer" ,
 "pass" , "domain_category" , "computing machine" ,
 "pass" , "domain_category" , "computer" ,
 "pass" , "domain_category" , "computing device" ,
 "pass" , "domain_category" , "armed forces" ,
 "pass" , "domain_category" , "armed services" ,
 "pass" , "domain_category" , "military machine" ,
 "pass" , "domain_category" , "military" ,
 "pass" , "domain_category" , "war machine" ,
 "pass" , "domain_category" , "armed forces" ,
 "pass" , "domain_category" , "armed services" ,
 "pass" , "domain_category" , "military machine" ,
 "pass" , "domain_category" , "military" ,
 "pass" , "domain_category" , "war machine" ,
 "passing" , "domain_category" , "football" ,
 "passing" , "domain_category" , "football game" ,
 "passing" , "domain_category" , "American football game" ,
 "passing" , "domain_category" , "American football" ,
 "cut" , "domain_category" , "boxing" ,
 "cut" , "domain_category" , "pugilism" ,
 "cut" , "domain_category" , "fisticuffs" ,
 "cut" , "domain_category" , "tennis" ,
 "cut" , "domain_category" , "lawn tennis" ,
 "cut" , "domain_category" , "squash" ,
 "cut" , "domain_category" , "squash racquets" ,
 "cut" , "domain_category" , "squash rackets" ,
 "cut" , "domain_category" , "badminton" ,
 "cut" , "domain_category" , "sport" ,
 "cut" , "domain_category" , "athletics" ,
 "cut" , "domain_category" , "fashion" ,
 "cut" , "domain_category" , "flora" ,
 "cut" , "domain_category" , "vegetation" ,
 "cut" , "domain_category" , "botany" ,
 "loss" , "domain_category" , "armed forces" ,
 "loss" , "domain_category" , "armed services" ,
 "loss" , "domain_category" , "military machine" ,
 "loss" , "domain_category" , "military" ,
 "loss" , "domain_category" , "war machine" ,
 "reversion" , "domain_category" , "genetics" ,
 "reversion" , "domain_category" , "genetic science" ,
 "reversion" , "domain_category" , "law" ,
 "reversion" , "domain_category" , "jurisprudence" ,
 "fault" , "domain_category" , "tennis" ,
 "fault" , "domain_category" , "lawn tennis" ,
 "fault" , "domain_category" , "squash" ,
 "fault" , "domain_category" , "squash racquets" ,
 "fault" , "domain_category" , "squash rackets" ,
 "fault" , "domain_category" , "badminton" ,
 "fault" , "domain_category" , "electronics" ,
 "fault" , "domain_category" , "geology" ,
 "error" , "domain_category" , "ball" ,
 "error" , "domain_category" , "baseball game" ,
 "error" , "domain_category" , "baseball" ,
 "error" , "domain_category" , "computing" ,
 "error" , "domain_category" , "computer science" ,
 "double fault" , "domain_category" , "tennis" ,
 "double fault" , "domain_category" , "lawn tennis" ,
 "bobble" , "domain_category" , "ball" ,
 "bobble" , "domain_category" , "baseball game" ,
 "bobble" , "domain_category" , "baseball" ,
 "misplay" , "domain_category" , "ball" ,
 "misplay" , "domain_category" , "baseball game" ,
 "misplay" , "domain_category" , "baseball" ,
 "stain" , "domain_category" , "microscopy" ,
 "rounding error" , "domain_category" , "maths" ,
 "rounding error" , "domain_category" , "math" ,
 "rounding error" , "domain_category" , "mathematics" ,
 "rounding" , "domain_category" , "maths" ,
 "rounding" , "domain_category" , "math" ,
 "rounding" , "domain_category" , "mathematics" ,
 "truncation error" , "domain_category" , "maths" ,
 "truncation error" , "domain_category" , "math" ,
 "truncation error" , "domain_category" , "mathematics" ,
 "offside" , "domain_category" , "sport" ,
 "offside" , "domain_category" , "athletics" ,
 "offside" , "domain_category" , "sport" ,
 "offside" , "domain_category" , "athletics" ,
 "bull" , "domain_category" , "investment" ,
 "bull" , "domain_category" , "investing" ,
 "fumble" , "domain_category" , "ball" ,
 "fumble" , "domain_category" , "baseball game" ,
 "fumble" , "domain_category" , "baseball" ,
 "fumble" , "domain_category" , "American football game" ,
 "fumble" , "domain_category" , "American football" ,
 "fumble" , "domain_category" , "ball" ,
 "fumble" , "domain_category" , "baseball game" ,
 "fumble" , "domain_category" , "baseball" ,
 "muff" , "domain_category" , "ball" ,
 "muff" , "domain_category" , "baseball game" ,
 "muff" , "domain_category" , "baseball" ,
 "muff" , "domain_category" , "American football game" ,
 "muff" , "domain_category" , "American football" ,
 "spill" , "domain_category" , "sailing" ,
 "wipeout" , "domain_category" , "sport" ,
 "wipeout" , "domain_category" , "athletics" ,
 "catching" , "domain_category" , "ball" ,
 "catching" , "domain_category" , "baseball game" ,
 "catching" , "domain_category" , "baseball" ,
 "purchase" , "domain_category" , "commercialism" ,
 "purchase" , "domain_category" , "commerce" ,
 "purchase" , "domain_category" , "mercantilism" ,
 "redemption" , "domain_category" , "theology" ,
 "redemption" , "domain_category" , "divinity" ,
 "redemption" , "domain_category" , "corporation" ,
 "redemption" , "domain_category" , "corp" ,
 "call" , "domain_category" , "sport" ,
 "call" , "domain_category" , "athletics" ,
 "call" , "domain_category" , "cards" ,
 "call" , "domain_category" , "card game" ,
 "call" , "domain_category" , "sport" ,
 "call" , "domain_category" , "athletics" ,
 "call" , "domain_category" , "telephone" ,
 "call" , "domain_category" , "telephony" ,
 "call" , "domain_category" , "telecommunication" ,
 "call" , "domain_category" , "telecom" ,
 "put" , "domain_category" , "music" ,
 "acceptance" , "domain_category" , "contract law" ,
 "succession" , "domain_category" , "environmental science" ,
 "succession" , "domain_category" , "ecology" ,
 "succession" , "domain_category" , "bionomics" ,
 "position" , "domain_category" , "sport" ,
 "position" , "domain_category" , "athletics" ,
 "position" , "domain_category" , "armed forces" ,
 "position" , "domain_category" , "armed services" ,
 "position" , "domain_category" , "military machine" ,
 "position" , "domain_category" , "military" ,
 "position" , "domain_category" , "war machine" ,
 "inheritance" , "domain_category" , "genetics" ,
 "inheritance" , "domain_category" , "genetic science" ,
 "inheritance" , "domain_category" , "law" ,
 "inheritance" , "domain_category" , "jurisprudence" ,
 "heritage" , "domain_category" , "law" ,
 "heritage" , "domain_category" , "jurisprudence" ,
 "appropriation" , "domain_category" , "legislature" ,
 "appropriation" , "domain_category" , "legislative body" ,
 "appropriation" , "domain_category" , "legislative assembly" ,
 "appropriation" , "domain_category" , "law-makers" ,
 "appropriation" , "domain_category" , "general assembly" ,
 "adoption" , "domain_category" , "law" ,
 "adoption" , "domain_category" , "jurisprudence" ,
 "naturalisation" , "domain_category" , "law" ,
 "naturalisation" , "domain_category" , "jurisprudence" ,
 "naturalization" , "domain_category" , "law" ,
 "naturalization" , "domain_category" , "jurisprudence" ,
 "preemption" , "domain_category" , "law" ,
 "preemption" , "domain_category" , "jurisprudence" ,
 "pre-emption" , "domain_category" , "law" ,
 "pre-emption" , "domain_category" , "jurisprudence" ,
 "poundage" , "domain_category" , "law" ,
 "poundage" , "domain_category" , "jurisprudence" ,
 "impounding" , "domain_category" , "law" ,
 "impounding" , "domain_category" , "jurisprudence" ,
 "internment" , "domain_category" , "law" ,
 "internment" , "domain_category" , "jurisprudence" ,
 "impoundment" , "domain_category" , "law" ,
 "impoundment" , "domain_category" , "jurisprudence" ,
 "impress" , "domain_category" , "crime" ,
 "impress" , "domain_category" , "law-breaking" ,
 "impress" , "domain_category" , "criminal offense" ,
 "impress" , "domain_category" , "criminal offence" ,
 "occupation" , "domain_category" , "armed forces" ,
 "occupation" , "domain_category" , "armed services" ,
 "occupation" , "domain_category" , "military machine" ,
 "occupation" , "domain_category" , "military" ,
 "occupation" , "domain_category" , "war machine" ,
 "sequestration" , "domain_category" , "law" ,
 "sequestration" , "domain_category" , "jurisprudence" ,
 "grant" , "domain_category" , "law" ,
 "grant" , "domain_category" , "jurisprudence" ,
 "award" , "domain_category" , "law" ,
 "award" , "domain_category" , "jurisprudence" ,
 "awarding" , "domain_category" , "law" ,
 "awarding" , "domain_category" , "jurisprudence" ,
 "addiction" , "domain_category" , "civil law" ,
 "addiction" , "domain_category" , "Justinian code" ,
 "addiction" , "domain_category" , "Roman law" ,
 "addiction" , "domain_category" , "jus civile" ,
 "addiction" , "domain_category" , "narcotic" ,
 "catch" , "domain_category" , "ball" ,
 "catch" , "domain_category" , "baseball game" ,
 "catch" , "domain_category" , "baseball" ,
 "collar" , "domain_category" , "zoological science" ,
 "collar" , "domain_category" , "zoology" ,
 "reception" , "domain_category" , "American football game" ,
 "reception" , "domain_category" , "American football" ,
 "appointment" , "domain_category" , "law" ,
 "appointment" , "domain_category" , "jurisprudence" ,
 "discard" , "domain_category" , "cards" ,
 "discard" , "domain_category" , "card game" ,
 "auction" , "domain_category" , "commercialism" ,
 "auction" , "domain_category" , "commerce" ,
 "auction" , "domain_category" , "mercantilism" ,
 "overcapitalisation" , "domain_category" , "business" ,
 "overcapitalisation" , "domain_category" , "commercial enterprise" ,
 "overcapitalisation" , "domain_category" , "business enterprise" ,
 "overcapitalization" , "domain_category" , "business" ,
 "overcapitalization" , "domain_category" , "commercial enterprise" ,
 "overcapitalization" , "domain_category" , "business enterprise" ,
 "salvation" , "domain_category" , "theology" ,
 "salvation" , "domain_category" , "divinity" ,
 "remission" , "domain_category" , "law" ,
 "remission" , "domain_category" , "jurisprudence" ,
 "indulgence" , "domain_category" , "Church of Rome" ,
 "indulgence" , "domain_category" , "Western Church" ,
 "indulgence" , "domain_category" , "Roman Catholic" ,
 "indulgence" , "domain_category" , "Roman Church" ,
 "indulgence" , "domain_category" , "Roman Catholic Church" ,
 "conversion" , "domain_category" , "psychiatry" ,
 "conversion" , "domain_category" , "psychological medicine" ,
 "conversion" , "domain_category" , "psychopathology" ,
 "release" , "domain_category" , "music" ,
 "release" , "domain_category" , "chemistry" ,
 "release" , "domain_category" , "chemical science" ,
 "release" , "domain_category" , "law" ,
 "release" , "domain_category" , "jurisprudence" ,
 "ransom" , "domain_category" , "crime" ,
 "ransom" , "domain_category" , "law-breaking" ,
 "ransom" , "domain_category" , "criminal offense" ,
 "ransom" , "domain_category" , "criminal offence" ,
 "execution" , "domain_category" , "computing" ,
 "execution" , "domain_category" , "computer science" ,
 "execution" , "domain_category" , "law" ,
 "execution" , "domain_category" , "jurisprudence" ,
 "execution" , "domain_category" , "law" ,
 "execution" , "domain_category" , "jurisprudence" ,
 "linguistic performance" , "domain_category" , "linguistics" ,
 "mechanism" , "domain_category" , "philosophy" ,
 "service" , "domain_category" , "precedent" ,
 "service" , "domain_category" , "common law" ,
 "service" , "domain_category" , "case law" ,
 "service" , "domain_category" , "tennis" ,
 "service" , "domain_category" , "lawn tennis" ,
 "service" , "domain_category" , "squash" ,
 "service" , "domain_category" , "squash racquets" ,
 "service" , "domain_category" , "squash rackets" ,
 "service" , "domain_category" , "badminton" ,
 "service" , "domain_category" , "armed forces" ,
 "service" , "domain_category" , "armed services" ,
 "service" , "domain_category" , "military machine" ,
 "service" , "domain_category" , "military" ,
 "service" , "domain_category" , "war machine" ,
 "trick" , "domain_category" , "cards" ,
 "trick" , "domain_category" , "card game" ,
